AC000108.1_1	428
AC000108.1_2	149
AE000511.1_1	428
AE000511.1_2	149
AE000511.1_3	139
AE000511.1_4	624
AE000512.1_1	106
AE000512.1_2	403
AE000512.1_3	155
AE000512.1_4	670
AE008384.1_1	827
AE008384.1_2	134
AE008384.1_3	75
AE010299.1_1	138
AE010299.1_2	439
AE010299.1_3	348
AE010299.1_4	416
AE010299.1_5	371
AP013354.1_1	428
AP013354.1_2	149
AP013354.1_3	139
AP013354.1_4	624
AP013355.1_1	428
AP013355.1_2	149
AP013355.1_3	139
AP013355.1_4	624
AP013356.1_1	428
AP013356.1_2	149
AP013356.1_3	139
AP013356.1_4	624
AP014507.1_1	476
AP014507.1_2	334
AP014508.1_1	395
AP014508.1_2	118
AP014508.1_3	113
AP014508.1_4	156
AP014508.1_5	475
AP014508.1_6	1111
AP014508.1_7	308
AP014508.1_8	71
AP014508.1_9	406
AP014638.1_1	230
AP014638.1_2	637
AP014642.1_1	230
AP014642.1_2	637
AP014815.1_1	262
AP014815.1_2	532
AP014815.1_3	239
AP014815.1_4	161
AP014821.1_1	301
AP014821.1_2	668
AP017295.1_1	213
AP017295.1_2	571
AP017295.1_3	86
AP017308.1_1	62
AP017308.1_2	374
AP017308.1_3	417
AP017375.1_1	253
AP017375.1_2	269
AP017375.1_3	1045
AP017632.1_1	428
AP017632.1_2	149
AP018166.1_1	152
AP018166.1_2	205
AP018174.1_1	131
AP018174.1_2	199
AP018174.1_3	443
AP018174.1_4	133
AP018174.1_5	325
AP018178.1_1	107
AP018178.1_2	303
AP018178.1_3	412
AP018178.1_4	484
AP018180.1_1	163
AP018180.1_2	394
AP018180.1_3	252
AP018184.1_1	736
AP018184.1_2	58
AP018184.1_3	1010
AP018194.1_1	96
AP018194.1_2	322
AP018194.1_3	145
AP018194.1_4	799
AP018194.1_5	428
AP018203.1_1	637
AP018203.1_2	230
AP018216.1_1	777
AP018216.1_2	331
AP018227.1_1	733
AP018227.1_2	161
AP018227.1_3	84
AP018233.1_1	413
AP018233.1_2	142
AP018233.1_3	108
AP018233.1_4	124
AP018233.1_5	350
AP018233.1_6	721
AP018248.1_1	234
AP018248.1_2	283
AP018268.1_1	394
AP018268.1_2	246
AP018268.1_3	47
AP018268.1_4	657
AP018268.1_5	126
AP018268.1_6	243
AP018268.1_7	179
AP018280.1_1	148
AP018280.1_2	171
AP018288.1_1	164
AP018288.1_2	152
AP018288.1_3	368
AP018288.1_4	356
AP018307.1_1	248
AP018307.1_2	233
AP018316.1_1	214
AP018316.1_2	191
AP018316.1_3	393
AP018316.1_4	388
AP018318.1_1	170
AP018318.1_2	506
AP018318.1_3	236
AP018318.1_4	370
AP018335.1_1	410
AP018335.1_2	194
AP018335.1_3	454
AP018335.1_4	339
AP019189.1_1	420
AP019189.1_2	110
AP019189.1_3	422
AP019189.1_4	288
AP019774.1_1	152
AP019774.1_2	69
AP019774.1_3	315
AP019774.1_4	247
AP019780.1_1	75
AP019780.1_2	134
AP019780.1_3	827
AP019860.1_1	149
AP019860.1_2	406
AP019860.1_3	420
AP019860.1_4	1491
AP023036.1_1	337
AP023036.1_2	300
AP023036.1_3	361
AP023036.1_4	152
AP023037.1_1	85
AP023037.1_2	386
AP023037.1_3	315
AP023039.1_1	152
AP023039.1_2	69
AP023039.1_3	315
AP023042.1_1	152
AP023042.1_2	69
AP023042.1_3	315
AP023046.1_1	152
AP023046.1_2	69
AP023046.1_3	315
AP023230.2_1	420
AP023230.2_2	110
AP023230.2_3	422
AP023230.2_4	288
AP023441.1_1	122
AP023441.1_2	131
AP024205.1_1	420
AP024205.1_2	110
AP024205.1_3	422
AP024205.1_4	288
AP024480.1_1	158
AP024480.1_2	330
AP024480.1_3	185
AP024480.1_4	406
AP024480.1_5	238
AP024480.1_6	130
AP024814.1_1	322
AP024814.1_2	291
AP024814.1_3	422
AP024814.1_4	90
AP025232.1_1	552
AP025232.1_2	264
AP025621.1_1	347
AP025621.1_2	243
AP025621.1_3	215
AP025621.1_4	117
AP025621.1_5	461
AP025621.1_6	192
AP025625.1_1	523
AP025625.1_2	305
AP025625.1_3	328
AP025625.1_4	555
AP025732.1_1	418
AP025732.1_2	136
AP026075.1_1	352
AP026075.1_2	273
AP026503.1_1	420
AP026503.1_2	110
AP026503.1_3	422
AP026503.1_4	288
AP026673.1_1	423
AP026673.1_2	563
AP026673.1_3	119
AP026769.1_1	162
AP026769.1_2	71
AP026769.1_3	143
AP026769.1_4	422
AP027162.1_1	105
AP027162.1_2	200
AP027162.1_3	218
AP027162.1_4	218
AP027477.1_1	411
AP027477.1_2	289
AP027775.1_1	420
AP027775.1_2	110
AP027775.1_3	422
AP027775.1_4	288
AP027818.1_1	420
AP027818.1_2	110
AP027818.1_3	422
AP027818.1_4	288
AP027941.1_1	149
AP027941.1_2	287
AP027941.1_3	624
AP027963.1_1	420
AP027963.1_2	110
AP027963.1_3	422
AP027963.1_4	288
AP028097.1_1	128
AP028097.1_2	178
AP028097.1_3	514
AP028097.1_4	288
AP028102.1_1	128
AP028102.1_2	178
AP028102.1_3	514
AP028102.1_4	288
AP028106.1_1	128
AP028106.1_2	178
AP028106.1_3	514
AP028106.1_4	288
AP028110.1_1	128
AP028110.1_2	178
AP028110.1_3	514
AP028110.1_4	288
AP028115.1_1	128
AP028115.1_2	178
AP028115.1_3	514
AP028115.1_4	288
AP028119.1_1	128
AP028119.1_2	178
AP028119.1_3	514
AP028119.1_4	288
AP028123.1_1	128
AP028123.1_2	178
AP028123.1_3	514
AP028123.1_4	288
AP028635.1_1	193
AP028635.1_2	65
AP028635.1_3	395
AP028635.1_4	452
AP028635.1_5	47
AP028635.1_6	231
AP028635.1_7	83
AP028636.1_1	387
AP028636.1_2	574
AP028636.1_3	163
AP028636.1_4	503
AP028638.1_1	384
AP028638.1_2	184
AP028638.1_3	1071
AP028638.1_4	230
AP028638.1_5	49
AP028639.1_1	554
AP028639.1_2	268
AP028639.1_3	408
AP028640.1_1	395
AP028640.1_2	65
AP028640.1_3	193
AP028640.1_4	542
AP028640.1_5	245
AP028640.1_6	82
AP028640.1_7	96
AP028641.1_1	384
AP028641.1_2	289
AP028641.1_3	336
AP028641.1_4	399
AP028643.1_1	1071
AP028643.1_2	184
AP028643.1_3	384
AP028644.1_1	554
AP028644.1_2	268
AP028644.1_3	408
AP028817.1_1	627
AP028822.1_1	128
AP028822.1_2	178
AP028822.1_3	514
AP028822.1_4	288
AP028824.1_1	627
AP028827.1_1	128
AP028827.1_2	178
AP028827.1_3	514
AP028827.1_4	288
AP028828.1_1	627
AP028832.1_1	128
AP028832.1_2	178
AP028832.1_3	514
AP028832.1_4	288
AP028833.1_1	627
AP028837.1_1	128
AP028837.1_2	178
AP028837.1_3	514
AP028837.1_4	288
AP028838.1_1	627
AP028842.1_1	128
AP028842.1_2	178
AP028842.1_3	514
AP028842.1_4	288
AP028843.1_1	627
AP028847.1_1	128
AP028847.1_2	178
AP028847.1_3	514
AP028847.1_4	288
AP028848.1_1	627
AP028852.1_1	128
AP028852.1_2	178
AP028852.1_3	514
AP028852.1_4	288
AP028854.1_1	627
AP028858.1_1	128
AP028858.1_2	178
AP028858.1_3	514
AP028858.1_4	288
AP028859.1_1	627
BA000019.2_1	777
BA000019.2_2	331
BA000043.1_1	371
BA000043.1_2	388
BA000043.1_3	264
BA000043.1_4	816
BK017243.1_1	381
BK017243.1_2	260
BK017243.1_3	414
BK017448.1_1	400
BK017448.1_2	99
BK017448.1_3	67
BK017448.1_4	939
BK021901.1_1	226
BK021901.1_2	93
BK021901.1_3	408
BK022099.1_1	134
BK022099.1_2	282
BK022099.1_3	433
BK023444.1_1	207
BK023444.1_2	343
BK023444.1_3	402
BK023444.1_4	284
BK023444.1_5	90
BK024772.1_1	198
BK024772.1_2	379
BK030888.1_1	938
BK030888.1_2	67
BK030888.1_3	113
BK030888.1_4	400
BK035606.1_1	175
BK035606.1_2	827
BK035606.1_3	401
BK039564.1_1	419
BK039564.1_2	366
BK039564.1_3	248
BK039752.1_1	291
BK039752.1_2	381
BK042032.1_1	133
BK042032.1_2	924
BK042032.1_3	380
BK047914.1_1	149
BK047914.1_2	204
BK047914.1_3	95
BK047914.1_4	407
BK048175.1_1	380
BK048175.1_2	924
BK048175.1_3	133
