AC000108,12,1,13324,15105,1782,CAS-V-F
AE000511,13,1,330588,331245,658,CAS-V-A
AE000511,14,2,425510,429558,4049,CAS-V-A
AE000511,15,3,454330,456111,1782,CAS-V-F
AE000511,16,4,1051052,1052833,1782,CAS-V-F
AE000511,17,5,1060324,1062105,1782,CAS-V-F
AE000511,18,6,1156724,1158505,1782,CAS-V-F
AE000511,21,9,1613001,1614782,1782,CAS-V-F
AE000512,22,1,36719,38490,1772,CAS-V-A
AE000512,31,10,930682,932435,1754,CAS-V-A
AE000512,33,12,1503133,1505946,2814,CAS-V-A
AE000512,23,2,44790,49624,4835,CAS-V-F
AE000512,38,17,1804360,1805870,1511,CAS-V-F
AE008384,39,1,6523,8101,1579,CAS-V-A
AE008384,46,8,3623764,3627085,3322,CAS-V-A
AE008384,44,6,2838031,2841787,3757,CAS-V-F
AE010299,50,2,869889,871048,1160,CAS-V-A
AE010299,53,5,3679837,3680785,949,CAS-V-A
AE010299,55,7,4729055,4731635,2581,CAS-V-A
AE010299,56,8,4756155,4757172,1018,CAS-V-A
AE010299,57,9,4881480,4883009,1530,CAS-V-A
AE010299,51,3,1199625,1205464,5840,CAS-V-F
AP013354,60,1,330541,331198,658,CAS-V-A
AP013354,61,2,425461,429447,3987,CAS-V-A
AP013354,62,3,454219,456000,1782,CAS-V-F
AP013354,63,4,1050955,1052736,1782,CAS-V-F
AP013354,64,5,1060229,1062010,1782,CAS-V-F
AP013354,65,6,1156627,1158408,1782,CAS-V-F
AP013354,68,9,1612772,1614553,1782,CAS-V-F
AP013355,69,1,330542,331199,658,CAS-V-A
AP013355,70,2,425457,429443,3987,CAS-V-A
AP013355,71,3,454215,455996,1782,CAS-V-F
AP013355,72,4,1050682,1052463,1782,CAS-V-F
AP013355,73,5,1059956,1061737,1782,CAS-V-F
AP013355,74,6,1156354,1158135,1782,CAS-V-F
AP013355,77,9,1612496,1614277,1782,CAS-V-F
AP013356,78,1,330543,331200,658,CAS-V-A
AP013356,79,2,425455,429437,3983,CAS-V-A
AP013356,80,3,454209,455990,1782,CAS-V-F
AP013356,81,4,1050646,1052427,1782,CAS-V-F
AP013356,82,5,1059920,1061701,1782,CAS-V-F
AP013356,83,6,1156317,1158098,1782,CAS-V-F
AP013356,86,9,1612433,1614214,1782,CAS-V-F
AP014507,89,3,374440,376988,2549,CAS-V-A
AP014507,97,11,2079809,2082221,2413,CAS-V-A
AP014508,104,7,452474,457236,4763,CAS-V-A
AP014508,116,19,1818352,1819393,1042,CAS-V-A
AP014508,115,18,1785730,1787967,2238,CAS-V-B
AP014508,108,11,1076558,1088551,11994,CAS-V-F
AP014508,109,12,1137300,1143929,6630,CAS-V-F
AP014508,112,15,1598111,1600633,2523,CAS-V-F
AP014638,122,3,1793699,1796660,2962,CAS-V-A
AP014638,125,6,3728142,3728971,830,CAS-V-A
AP014638,126,7,5112095,5117505,5411,CAS-V-A
AP014638,123,4,1942961,1946169,3209,CAS-V-B
AP014642,129,3,1793699,1796660,2962,CAS-V-A
AP014642,132,6,3728142,3728971,830,CAS-V-A
AP014642,133,7,5112095,5117505,5411,CAS-V-A
AP014642,130,4,1942961,1946169,3209,CAS-V-B
AP014815,137,4,1285677,1286484,808,CAS-V-A
AP014815,135,2,870782,876014,5233,CAS-V-B
AP014815,134,1,392537,396523,3987,CAS-V-F
AP014821,145,3,2561942,2563343,1402,CAS-V-A
AP014821,146,4,3160116,3163160,3045,CAS-V-A
AP017295,595,5,4280563,4281317,755,CAS-V-A
AP017295,596,6,5729643,5734776,5134,CAS-V-A
AP017295,597,7,6371385,6374100,2716,CAS-V-A
AP017308,148,2,2046748,2052292,5545,CAS-V-A
AP017308,153,7,5102410,5105042,2633,CAS-V-F
AP017308,154,8,5563697,5566261,2565,CAS-V-F
AP017375,155,1,667222,668475,1254,CAS-V-A
AP017375,158,4,3447100,3452021,4922,CAS-V-A
AP017632,165,6,1485915,1486572,658,CAS-V-A
AP017632,161,2,412508,414289,1782,CAS-V-F
AP017632,162,3,418532,420313,1782,CAS-V-F
AP017632,164,5,1296912,1298693,1782,CAS-V-F
AP018166,170,5,3316378,3317461,1084,CAS-V-A
AP018174,173,1,88891,90613,1723,CAS-V-A
AP018174,174,2,257183,259317,2135,CAS-V-A
AP018174,178,6,2452609,2456579,3971,CAS-V-A
AP018174,183,11,4824481,4830881,6401,CAS-V-A
AP018174,184,12,4844068,4846353,2286,CAS-V-A
AP018174,185,13,5917704,5919165,1462,CAS-V-A
AP018174,182,10,4670273,4674115,3843,CAS-V-F
AP018178,190,4,2469344,2470212,869,CAS-V-A
AP018178,192,6,5073709,5076255,2547,CAS-V-A
AP018178,198,12,9469405,9471027,1623,CAS-V-A
AP018178,193,7,5775182,5780661,5480,CAS-V-F
AP018178,197,11,7810878,7816655,5778,CAS-V-F
AP018178,199,13,9658848,9660166,1319,CAS-V-F
AP018180,200,1,340905,342593,1689,CAS-V-A
AP018180,203,4,1339264,1343079,3816,CAS-V-A
AP018180,205,6,1611638,1616393,4756,CAS-V-A
AP018180,202,3,951676,954818,3143,CAS-V-F
AP018180,204,5,1434934,1436649,1716,CAS-V-F
AP018184,213,2,106187,108902,2716,CAS-V-A
AP018184,215,4,3337857,3343611,5755,CAS-V-B
AP018194,227,7,1888031,1889927,1897,CAS-V-A
AP018194,234,14,6618697,6623334,4638,CAS-V-A
AP018194,237,17,7242779,7245507,2729,CAS-V-A
AP018194,221,1,58590,60005,1416,CAS-V-F
AP018194,223,3,892918,894709,1792,CAS-V-F
AP018194,225,5,1161317,1163574,2258,CAS-V-F
AP018194,229,9,3415945,3417994,2050,CAS-V-F
AP018194,230,10,4082989,4085601,2613,CAS-V-F
AP018194,231,11,4878866,4882449,3584,CAS-V-F
